exposure,outcome,estimate,std.error,beta_std,Description,Category,Abbreviation,p.value,p_fdr,n
EGFR,X30800.0.0,-217.7203028,25.317980879748,-0.091418537,Oestradiol,Endocrine,Oestradiol,9.52997880888538e-18,1.44548671866315e-17,8059
GDF15,X30800.0.0,79.2395936973619,9.71017559401009,0.104311426723435,Oestradiol,Endocrine,Oestradiol,3.84368282935147e-16,5.68999335873427e-16,8059
GHRL,X30800.0.0,-6.475080269,5.19137377361749,-0.013940341,Oestradiol,Endocrine,Oestradiol,0.212332817711758,0.222506414850961,7957
LGALS4,X30800.0.0,-20.6808643,8.00323514723428,-0.029218582,Oestradiol,Endocrine,Oestradiol,0.00978210992882173,0.0110747790626885,7950
APOM,X30810.0.0,0.0296863834921277,0.0023271506653087,0.0590891527255753,Phosphate,Glycolysis related metabolites,Phosphate,3.32738212622499e-37,6.16383902071187e-37,44923
CD276,X30810.0.0,0.0152625066838833,0.00185150015195436,0.0389948700148171,Phosphate,Glycolysis related metabolites,Phosphate,1.72002257397666e-16,2.56302264869489e-16,44797
EGFR,X30810.0.0,0.029500610812596,0.00399295378012385,0.0345012913628781,Phosphate,Glycolysis related metabolites,Phosphate,1.51422915171627e-13,2.14331391412032e-13,45367
GDF15,X30810.0.0,0.0125577683127574,0.00145859460196889,0.0460978114742261,Phosphate,Glycolysis related metabolites,Phosphate,7.56989531053347e-18,1.15075987007661e-17,45367
GHRL,X30810.0.0,0.0219742701793502,0.000788630281165748,0.133464609281056,Phosphate,Glycolysis related metabolites,Phosphate,2.06407155582517e-169,9.65131389551355e-169,44799
LGALS4,X30810.0.0,0.0166701008965761,0.00120002703368448,0.0667932344047732,Phosphate,Glycolysis related metabolites,Phosphate,8.80415853446574e-44,1.77128174669667e-43,44797
APOM,X30820.0.0,-2.202518806,0.932879489122133,-0.03569252,Rheumatoid.factor,Inflammation,Rheumatoid.factor,0.0182689887693018,0.0204058886088742,4480
CD276,X30820.0.0,0.390308363189844,0.753683080047288,0.00792359785542901,Rheumatoid.factor,Inflammation,Rheumatoid.factor,0.604576129852034,0.613626670718083,4462
EGFR,X30820.0.0,-3.567670716,1.59791442960418,-0.034207398,Rheumatoid.factor,Inflammation,Rheumatoid.factor,0.0256175263929769,0.0284266495817321,4509
GDF15,X30820.0.0,3.24531660233322,0.545397664269264,0.101218746133533,Rheumatoid.factor,Inflammation,Rheumatoid.factor,2.8788449012832e-09,3.81222039662111e-09,4509
GHRL,X30820.0.0,-0.691989624,0.314015382824125,-0.034365203,Rheumatoid.factor,Inflammation,Rheumatoid.factor,0.0275980889657008,0.0305244768658159,4446
LGALS4,X30820.0.0,1.02406614761515,0.474714044691419,0.033687383482441,Rheumatoid.factor,Inflammation,Rheumatoid.factor,0.0310413816242383,0.034110302660022,4462
APOM,X30830.0.0,7.24703012690641,0.379928702000426,0.0834508196181059,SHBG,Endocrine,SHBG,8.61358889428269e-81,2.45378708837129e-80,44606
CD276,X30830.0.0,5.10846349939339,0.303004259165016,0.0753033176804746,SHBG,Endocrine,SHBG,1.41249814100807e-63,3.42026335572668e-63,44482
EGFR,X30830.0.0,-10.19907651,0.652733415878856,-0.068927526,SHBG,Endocrine,SHBG,6.84275615707519e-55,1.5413251410289e-54,45042
GDF15,X30830.0.0,2.30338124273811,0.242923543491241,0.0483635591287559,SHBG,Endocrine,SHBG,2.61367424487492e-21,4.15979140381501e-21,45042
GHRL,X30830.0.0,1.48392847870891,0.130049920448564,0.0521146754829894,SHBG,Endocrine,SHBG,4.08436865241281e-30,7.21146340191637e-30,44481
LGALS4,X30830.0.0,-2.209768335,0.197069144253717,-0.051079089,SHBG,Endocrine,SHBG,3.84589906477987e-29,6.70313513090168e-29,44482
APOM,X30840.0.0,-0.152126152,0.0607187917767772,-0.011076646,Total.bilirubin,Renal/Liver function,Total.bilirubin,0.0122337876426631,0.0137782525277834,48953
CD276,X30840.0.0,0.112638474745453,0.0487191718901867,0.0104447654260581,Total.bilirubin,Renal/Liver function,Total.bilirubin,0.0207821159938657,0.0231747938221068,48788
EGFR,X30840.0.0,0.159297447583955,0.104139604406689,0.00680261136549424,Total.bilirubin,Renal/Liver function,Total.bilirubin,0.126109077642097,0.133388384775884,49428
GDF15,X30840.0.0,-0.50939994,0.0378673617366956,-0.068420371,Total.bilirubin,Renal/Liver function,Total.bilirubin,3.53192876453198e-41,6.86145473453491e-41,49428
GHRL,X30840.0.0,0.0156067227882927,0.0207207435566448,0.00346850198608563,Total.bilirubin,Renal/Liver function,Total.bilirubin,0.451337473298969,0.46294524492693,48815
LGALS4,X30840.0.0,-0.313965656,0.0316882804540553,-0.045498181,Total.bilirubin,Renal/Liver function,Total.bilirubin,4.04353945932583e-23,6.59019171495892e-23,48788
APOM,X30850.0.0,0.703521866670302,0.0395769477733369,0.0374311516513772,Testosterone,Endocrine,Testosterone,1.9047033958279e-70,4.83666255569781e-70,44389
CD276,X30850.0.0,-0.09831841,0.0318443573025849,-0.006664935,Testosterone,Endocrine,Testosterone,0.00201995068501547,0.00238178532946172,44236
EGFR,X30850.0.0,-0.060649706,0.0687381386844959,-0.001881365,Testosterone,Endocrine,Testosterone,0.377603243943959,0.38967275402436,44831
GDF15,X30850.0.0,-0.323307421,0.0249816011022284,-0.031705851,Testosterone,Endocrine,Testosterone,3.06145019870075e-38,5.71808053641628e-38,44831
GHRL,X30850.0.0,0.0747216643639591,0.0135666223198219,0.0120932587099413,Testosterone,Endocrine,Testosterone,3.65453366767451e-08,4.6927534596275e-08,44269
LGALS4,X30850.0.0,-0.340736233,0.0205834440030509,-0.036216798,Testosterone,Endocrine,Testosterone,2.29862298211431e-61,5.37402200646035e-61,44236
APOM,X30860.0.0,1.22255175286953,0.0608298031564058,0.0945720190770299,Total.protein,Renal/Liver function,Total.protein,1.90652936065707e-89,5.82264372308781e-89,44993
CD276,X30860.0.0,-0.581096421,0.0486147343039129,-0.057566996,Total.protein,Renal/Liver function,Total.protein,7.01959670286054e-33,1.2759481406272e-32,44864
EGFR,X30860.0.0,3.53725647817688,0.103437313052226,0.160668978042345,Total.protein,Renal/Liver function,Total.protein,4.46564423560455e-253,3.08949672626519e-252,45435
GDF15,X30860.0.0,0.222643686407172,0.0382961205544462,0.0317216632897639,Total.protein,Renal/Liver function,Total.protein,6.15005453230145e-09,8.04968527586947e-09,45435
GHRL,X30860.0.0,-0.002463966,0.0208441723947315,-0.000581856,Total.protein,Renal/Liver function,Total.protein,0.905902692212745,0.909928926400357,44865
LGALS4,X30860.0.0,0.458432143597588,0.0315300179445364,0.0712145359787165,Total.protein,Renal/Liver function,Total.protein,8.74531928052954e-48,1.84714220317727e-47,44864
APOM,X30880.0.0,-8.025662421,0.991715152653875,-0.031639986,Urate,Inflammation,Urate,5.96814088020419e-16,8.81568522173952e-16,49077
CD276,X30880.0.0,-1.249923922,0.787646419755435,-0.006337084,Urate,Inflammation,Urate,0.112539521,0.119783037894838,48909
EGFR,X30880.0.0,-0.141889446,1.70075884620029,-0.000328341,Urate,Inflammation,Urate,0.933512246632982,0.934891142122839,49554
GDF15,X30880.0.0,25.2047330610913,0.609028024738479,0.183455405320395,Urate,Inflammation,Urate,0,0,49554
GHRL,X30880.0.0,-0.923331387,0.338351353304881,-0.011125225,Urate,Inflammation,Urate,0.00635662032356288,0.00728004827597235,48938
LGALS4,X30880.0.0,22.724539983259,0.502307706169916,0.180075175551581,Urate,Inflammation,Urate,0,0,48909
APOM,X30890.0.0,2.4325304725387,0.304401186265562,0.0364701038041035,Vitamin.D,Endocrine,Vitamin.D,1.36662586263646e-15,2.00556782438857e-15,46913
CD276,X30890.0.0,1.41738131192092,0.238927582772439,0.0276898565692668,Vitamin.D,Endocrine,Vitamin.D,3.00886767468703e-09,3.97663213145771e-09,46743
EGFR,X30890.0.0,8.56309559721304,0.514641623816733,0.076284824151463,Vitamin.D,Endocrine,Vitamin.D,5.46441516500309e-62,1.2819631425163e-61,47376
GDF15,X30890.0.0,-2.725822446,0.187187972172921,-0.076761928,Vitamin.D,Endocrine,Vitamin.D,6.22850524180232e-48,1.31966454810687e-47,47376
GHRL,X30890.0.0,1.48926183512253,0.102573594583305,0.0688590213257019,Vitamin.D,Endocrine,Vitamin.D,1.16743741869249e-47,2.44297089467132e-47,46785
LGALS4,X30890.0.0,-1.783513472,0.154963386317341,-0.054628004,Vitamin.D,Endocrine,Vitamin.D,1.30332108440942e-30,2.31322433306175e-30,46743
